City,cityID,clusterID,Country,modeCar,modePT,modeBike,modeWalk,gasPrice,rdDeath,subLen,subLenD,subStPHK,subRidPC,subAge,BRTLen,BRTLenD,BRTStPHK,BRTFlPHK,BRTRidPC,BRTAge,bsSt,bsStPHK,bsBikes,bsBikPHK,bsAge,congest,AMPeak,PMPeak,TI,TTI,inefInd,pop,land,popDen,poCh9000,poCh0010,poCh1020,poCh2025,ur15,urCh1525,GDPPCP,unemploy,costLiv,rent,grocery,restaPri,locPurPo,gini,poverty,lifeExp,safety,internet,digital,innovat,smartphon,CO2EmsPC,polluI,stLenT,stLenD,stLenAvg,intersT,intersD,k_avg,stPerNode,circuity,loopP,highwayP
Kabul,1,3,Afghanistan,17.7,49.6,0,32.7,0.65,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3650000,259,14100,631001,1088568,1083559,990357,26.7,4.7,617.9,38,,,,,,0.29,27.6,60.5,,12.3,,,,0.693183411,104.2,4374731.818,4185927860,122.6720828,20705,956.8421641,5.23096638,2.688828584,1.043663017,0.000778165,0
Algiers,2,2,Algeria,12.8,28.7,,55.8,0.37,23.8,13.5,0.030681818,0.380952381,4.353741497,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3675000,440,8300,458131,573311,756928,368897,70.7,4.9,4827.7,10,34.98,10.09,34.96,26.43,39.57,0.37,,75.6,52.52,37.3,0.37,28,,3.51478009,74.18,,,,,,,,,,
Oran,3,2,Algeria,,,,,0.37,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1015000,163,6200,59272,69838,144774,105265,70.7,4.9,4827.7,,,,,,,0.37,,75.6,,37.3,0.37,,,3.51478009,,1358143.815,6104866158,88.64011324,9253,4495.007149,5.749213757,3.120827838,1.04461664,0.000635257,0.017992039
Luanda,4,3,Angola,,,,,0.76,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6955000,984,7100,1023451,2198754,2765042,1368858,44.1,7.2,6769,25,147.99,144.32,131.28,112.84,25.09,0.62,18.7,52.4,34.99,29.5,0.11,21,,1.384496389,,7758223.419,6203789736,100.0828636,46581,799.6405105,5.728078742,2.97388024,1.026106538,0.000528206,0
Huambo,5,3,Angola,,,,,0.76,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,590000,130,4600,251285,460941,627198,330972,44.1,7.2,3582.6,,,,,,,,18.7,52.4,,29.5,0.11,,,1.384496389,,524358.9636,424936578.9,198.6208195,1574,810.3925143,5.581714286,3.023428571,1.055167333,0.00020475,0
Buenos Aires,6,12,Argentina,46.3,44.7,,,1.24,13.6,53.9,0.020104439,0.595238095,16.94677871,104,56.3,0.020999627,0.679271709,,20.77731092,7,32,0.224089636,750,5.25210084,8,,,,188.18,44.58,171.84,14280000,2681,5300,1333706,1522931,1506351,647976,91.8,1.2,35906,5.6,56.92,16.25,46.08,56.56,61.06,0.51,12.6,76.5,38.63,79.4,0.53,45,48,4.46229798,62.7,11655349.5,11206312173,104.2965629,61630,961.4737144,5.078990076,3.497378441,1.009881771,0.000632908,0.015566114
Cordoba,7,1,Argentina,29.8,40.3,,,1.36,13.6,0,0,0,0,0,5.3,0.014600551,0.564263323,,10.90909091,4,0,0,0,0,0,,,,,,,1595000,363,4400,147393,184685,243350,116147,91.8,1.2,10154,,53.08,11.75,42.87,47.05,68.39,0.51,12.6,76.3,,79.4,0.53,34,48,4.46229798,,,,,,,,,,,
Yerevan,8,2,Armenia,,,,,0.84,18.3,13.4,0.035638298,0.754716981,11.9245283,36,0,0,0,0,0,0,0,0,0,0,0,,,,101.73,29.88,83.3,1325000,376,3500,-63223,1713,76199,49226,62.7,-0.1,3932.6,17.3,34.39,11.23,26.49,31.38,36.22,0.31,32.2,74.8,69.52,69.6,0.3,,,1.837058919,62.36,3832115.267,3952091412,170.6423506,12887,1031.308073,5.079606122,2.668703286,1.095672499,0.001424701,0
Sydney,9,13,Australia,69,11,3,18,1,5.4,0,0,0,0,0,49,0.024054983,1.425061425,,1.769041769,15,0,0,0,0,0,39,67,68,186.96,42.91,215.59,4070000,2037,1900,446006,400800,774916,392480,89.4,1.2,42824,4.9,85.98,64.89,76.93,74.81,116.89,,,81,59.13,86.9,0.74,53,77,9.4,28.23,20580066.76,2298266042,151.0097867,80525,111.6743725,4.969972417,2.668499013,1.082042424,0.003491959,0.012771507
Melbourne,10,10,Australia,80,14,2,4,1.11,5.4,0,0,0,0,0,0,0,0,0,0,0,50,1.264222503,600,15.17067004,2,33,55,58,143.12,35.57,138.17,3955000,2543,1500,316060,462816,715525,350883,89.4,1.2,39358,5.5,79.04,44.3,72.93,76.07,139.62,,,82,60.23,86.9,0.74,50,77,10.2,26.77,8636838.53,8653670487,107.5035914,48571,1001.948856,4.948412698,2.876304876,1.036985249,0.001625523,0.014488999
Vienna,11,11,Austria,31,36,5,28,1.54,0.7,78.5,0.173289183,5.85915493,247.7746479,41,0,0,0,0,0,0,121,6.816901409,1500,84.50704225,2,31,46,54,64,25.72,36.9,1775000,453,3900,10121,158421,143854,91224,66,1.2,56277,7,68.34,31.68,60.4,70.14,104.16,0.29,6,79.5,77.6,80.6,0.75,53,,14.2,18.5,4621739.295,5460499358,134.9688782,20118,1181.481475,4.65640592,2.897293869,1.053107417,0.002233845,0.02945859
Baku,12,2,Azerbaijan,,,,,0.73,10,36.7,0.03256433,0.917431193,79.08256881,50,0,0,0,0,0,0,0,0,0,0,0,,,,157.64,39.73,124.09,2725000,1127,2400,72525,255866,592851,244106,54.6,3.2,5861.5,5.4,30.33,11.43,24.65,33.7,33.75,0.38,,72.7,69.97,61,0.24,32,,3.785068836,86.69,2180614.501,6837953556,104.5707812,11987,3135.792022,4.687620829,2.608917992,1.056327231,0.001223958,0.009292948
