Variables,originalOrder
SUBLEN,7
SUBLEND,8
SUBSTPHK,9
SUBRIDPC,10
SUBAGE,11
BRTLEN,12
BRTLEND,13
BRTSTPHK,14
BRTFLPHK,15
BRTRIDPC,16
BRTAGE,17
BSST,18
BSSTPHK,19
BSBIKES,20
BSBIKPHK,21
BSAGE,22
MODECAR,1
MODEPT,2
MODEBIKE,3
MODEWALK,4
GASPRICE,5
RDDEATH,6
CONGEST,23
AMPEAK,24
PMPEAK,25
TI,26
TTI,27
INEFIND,28
POP,29
LAND,30
POPDEN,31
POCH9000,32
POCH0010,33
POCH1020,34
POCH2025,35
UR15,36
URCH1525,37
GDPPCP,38
UNEMPLOY,39
COSTLIV,40
RENT,41
GROCERY,42
RESTAPRI,43
LOCPURPO,44
GINI,45
POVERTY,46
LIFEEXP,47
SAFETY,48
INTERNET,49
DIGITAL,50
INNOVAT,51
SMARTPHO,52
CO2EMSPC,53
POLLUI,54
STLENT,55
STLEND,56
STLENAVG,57
INTERST,58
INTERSD,59
K_AVG,60
STPERNOD,61
CIRCUITY,62
LOOPP,63
HIGHWAYP,64
