Metro Propensity,BRT Propensity,BikeShare Propensity,Wealth,Sustainability,Population,Congestion,Sprawl,Network Density
0.079424504,0.0120674884,0.373602215,0.0295605759,0.2214708641,0.3102680074,0.7072857991,0.2118236355,0.3305749841
0.1271310655,0.0817780462,0.3755402114,0.1184244737,0.3447362567,0.1732013253,0.6561638851,0.5598699526,0.3808302766
0.0475021066,0.0880818129,0.3884725149,0.2319020768,0.3115324901,0.1144217666,0.5549051413,0.6897369883,0.4997618921
0.061401601,0.0875779284,0,0.4858118868,0.1754250043,0.4295335845,0.6421229061,0.3317167009,0.5140843281
0.0748224312,0.0372568198,0.3429578511,0.0432311287,0.3436013473,0.2063260331,0.687645756,0.4582154864,0.3136139722
0.4247187118,0.3905768126,0.465230317,0.4940552821,0.2986010026,0.2480446309,0.6212376443,0.4890350301,0.7826889132
0.0832930238,0.2102046182,0.3770518327,0.395764607,0.3373124767,0.0437232287,0.4817434971,0.3023082214,0.4781262271
0.2087774323,0.0917114202,0.4177989839,0.2669316896,0.4286537181,0.0310093999,0.5534121553,0.4940360568,0.3597288504
0.0789655639,0.3553671641,0.292788839,0.7977573263,0.3414952034,0.0932553075,0.4602152933,0.5744592222,0.351961201
0.0603867839,0.1683348531,0.3636753686,0.7861742392,0.3978941712,0.0822674181,0.333172875,0.5393552118,0.5589103703
0.7344087673,0.1291203756,0.4313919703,0.7094849969,0.6439043388,0.0337363409,0.346189823,0.2822675124,0.3836096608
0.3112852917,0.0611948957,0.4359156641,0.2466558801,0.4260065163,0.1318947821,0.5984480111,0.5365857422,0.45649398
0.0839264724,0.0857374773,0.4018415535,0.0240688948,0.0631525053,0.816198717,0.6462906427,0.0394419898,0.3114786443
0.0651517968,0.0421329819,0.3814241163,0.0951321906,0.2883818185,0.4009221652,0.5719525576,0.1756424061,0.1963093976
0.4335223997,0.0657353245,0.4040210737,0.3217261612,0.6096916794,0.0649219898,0.5689579919,0.689194498,0.3449215983
0.3653661821,0.1687507687,0.5148811387,0.734517777,0.4529646404,0.0241002529,0.5237818536,0.1993793942,0.4510962727
0.0697356455,0.1372800863,0.4503776251,0.7406847969,0.5581984152,0.0091631872,0.392301338,0.3205393115,0.3921719165
0.0705580316,0.0458716233,0.3466545321,0.0408693808,0.272642057,0.1715587287,0.6897619386,0.4046101033,0.3850024259
0.0515090623,0.1081688757,0.3798649514,0.210115627,0.2443581181,0.1304004651,0.5589865789,0.628950741,0.4706269905
0.060212173,0.105818802,0.3913879529,0.2395710001,0.2795119858,0.1510075381,0.5594520998,0.7215776742,0.382695918
0.363477276,0.5840782469,0.4432580516,0.3775516811,0.1920435879,0.4081497259,0.551303,0.3377632383,0.6508194481
0.2878019792,0.6841013359,0.4220030793,0.3768447283,0.1475996126,0.2542392773,0.7634452639,0.4562563328,0.4869231324
0.2467276345,0.7999311336,0.4345957286,0.3330464182,0.1905291576,0.1527144289,0.496503552,0.4534856795,0.6045766286
0.13210854,0.2525603979,0.4302850868,0.2692990866,0.2839950979,0.1542742427,0.649687801,0.2826268925,0.3009994024
0.2089097664,0.546957025,0.3875348523,0.3896746382,0.3357696452,0.1475702829,0.3715685905,0.4564562539,0.494426139
0.3222425464,0.7456021301,0.3958866722,0.287749633,0.0671465672,0.1248717936,0.6392092338,0.4268486572,0.505700629
0.4177361398,0.1065801336,0.4364681819,0.3558422061,0.4612725815,0.0585510459,0.4547230676,0.3221048121,0.3646819954
0.0413246281,0.0351789949,0.3460031605,0.0070540626,0.3308961023,0.3331839566,0.6573637874,0.3685318368,0.4599830029
0.0786633389,0.0595696922,0.3491845701,0.0705583857,0.3408307777,0.3387327195,0.6961593355,0.3824172006,0.3108635344
0.0757736208,0.0214157576,0.3336225794,0.1184809062,0.3013578027,0.1754317678,0.6978894152,0.3365171957,0.3169062857
0.0481088285,0.040965356,0.3400985808,0.0227330238,0.3228190671,0.2531625793,0.6639922771,0.2670959573,0.3407767379
0.0752543943,0.0422983871,0.3532698815,0.0503873986,0.3131788927,0.2566570882,0.6920237471,0.3078203473,0.2627302579
0.3626840117,0.1706930073,0.4268035919,0.779244051,0.3409980045,0.1406499745,0.3940372476,0.5657556291,0.4375312438
0.405902412,0.182316809,0.5426050463,0.7709025678,0.3847682744,0.0744802129,0.3567472291,0.540746583,0.3878675257
0.3157426547,0.2945686232,0.4032299697,0.7373888035,0.3655320024,0.0496931037,0.4454906947,0.3939176034,0.6618669841
0.0585770459,0.1625784388,0.3352241497,0.8003364487,0.4301910612,0.0324163359,0.1865687643,0.6260735914,0.2685057953
0.0463316412,0.1632844593,0.3455042458,0.8055450312,0.4180136985,0.0254809519,0.1038962101,0.7573134986,0.3848836032
0.0946006032,1,0.3738180099,0.7473180523,0.4214271954,0.0320525041,0.3267601212,0.4553924684,0.4345873345
0.0667622013,0.0121835953,0.3534372107,0.0365577311,0.259111296,0.187510617,0.6917106157,0.3470302716,0.3177512304
0.4520525438,0.472760873,0.4295759398,0.4461643331,0.4321245045,0.1511539542,0.655245328,0.4046493596,0.4196126988
0.0512892265,0.1308565242,0.3654516298,0.467095787,0.3676814032,0.0274931834,0.4634540766,0.274027416,0.3719721295
